# Wall heat-flux
# Time          	patch           	min             	max             	integral        
148             	wall	6.20142523e+01	1.39013023e+03	4.52150712e-01
149             	wall	6.15082111e+01	1.39013023e+03	4.50237242e-01
150             	wall	6.10082419e+01	1.39013023e+03	4.48358786e-01
151             	wall	6.05142039e+01	1.39013023e+03	4.46514681e-01
152             	wall	6.00260068e+01	1.39013023e+03	4.44704286e-01
153             	wall	5.95435223e+01	1.39013023e+03	4.42926972e-01
154             	wall	5.90666584e+01	1.39013023e+03	4.41182130e-01
155             	wall	5.85952903e+01	1.39013023e+03	4.39469162e-01
156             	wall	5.81293311e+01	1.39013023e+03	4.37787489e-01
157             	wall	5.76686791e+01	1.39013023e+03	4.36136543e-01
158             	wall	5.72132348e+01	1.39013023e+03	4.34515773e-01
159             	wall	5.67628887e+01	1.39013023e+03	4.32924636e-01
160             	wall	5.63175754e+01	1.39013023e+03	4.31362607e-01
161             	wall	5.58771902e+01	1.39013023e+03	4.29829170e-01
162             	wall	5.54416518e+01	1.39013023e+03	4.28323822e-01
163             	wall	5.50108592e+01	1.39013023e+03	4.26846078e-01
164             	wall	5.45847490e+01	1.39013023e+03	4.25395457e-01
165             	wall	5.41632302e+01	1.39013023e+03	4.23971491e-01
166             	wall	5.37462217e+01	1.39013023e+03	4.22573721e-01
167             	wall	5.33336458e+01	1.39013023e+03	4.21201699e-01
168             	wall	5.29254254e+01	1.39013023e+03	4.19854994e-01
169             	wall	5.25214893e+01	1.39013023e+03	4.18533175e-01
170             	wall	5.21217785e+01	1.39013023e+03	4.17235827e-01
171             	wall	5.17262046e+01	1.39013023e+03	4.15962537e-01
172             	wall	5.13347067e+01	1.39013023e+03	4.14712909e-01
173             	wall	5.09472156e+01	1.39013023e+03	4.13486551e-01
174             	wall	5.05613596e+01	1.39013023e+03	4.12283081e-01
175             	wall	5.01791511e+01	1.39013023e+03	4.11102121e-01
176             	wall	4.98007888e+01	1.39013023e+03	4.09943302e-01
177             	wall	4.94262283e+01	1.39013023e+03	4.08806266e-01
178             	wall	4.90554616e+01	1.39013023e+03	4.07690661e-01
179             	wall	4.86884238e+01	1.39013023e+03	4.06596138e-01
180             	wall	4.83250806e+01	1.39013023e+03	4.05522358e-01
181             	wall	4.79654025e+01	1.39013023e+03	4.04468989e-01
182             	wall	4.76093270e+01	1.39013023e+03	4.03435700e-01
183             	wall	4.72568253e+01	1.39013023e+03	4.02422172e-01
184             	wall	4.69079024e+01	1.39013023e+03	4.01428089e-01
185             	wall	4.65624853e+01	1.39013023e+03	4.00453141e-01
186             	wall	4.62205584e+01	1.39013023e+03	3.99497022e-01
187             	wall	4.58821043e+01	1.39013023e+03	3.98559433e-01
188             	wall	4.55471119e+01	1.39013023e+03	3.97640078e-01
189             	wall	4.52155230e+01	1.39013023e+03	3.96738666e-01
190             	wall	4.48873470e+01	1.39013023e+03	3.95854911e-01
191             	wall	4.45625546e+01	1.39013023e+03	3.94988534e-01
192             	wall	4.42411285e+01	1.39013023e+03	3.94139256e-01
193             	wall	4.39230626e+01	1.39013023e+03	3.93306805e-01
194             	wall	4.36083522e+01	1.39013023e+03	3.92490913e-01
195             	wall	4.32969593e+01	1.39013023e+03	3.91691312e-01
196             	wall	4.29888797e+01	1.39013023e+03	3.90907744e-01
197             	wall	4.26841108e+01	1.39013023e+03	3.90139948e-01
198             	wall	4.23826595e+01	1.39013023e+03	3.89387671e-01
199             	wall	4.20845012e+01	1.39013023e+03	3.88650663e-01
200             	wall	4.17896364e+01	1.39013023e+03	3.87928676e-01
201             	wall	4.14980477e+01	1.39013023e+03	3.87221465e-01
202             	wall	4.12097364e+01	1.39013023e+03	3.86528790e-01
203             	wall	4.09246963e+01	1.39013023e+03	3.85850411e-01
204             	wall	4.06429152e+01	1.39013023e+03	3.85186094e-01
205             	wall	4.03643991e+01	1.39013023e+03	3.84535606e-01
206             	wall	4.00891501e+01	1.39013023e+03	3.83898719e-01
207             	wall	3.98171494e+01	1.39013023e+03	3.83275203e-01
208             	wall	3.95484020e+01	1.39013023e+03	3.82664837e-01
209             	wall	3.92828936e+01	1.39013023e+03	3.82067399e-01
210             	wall	3.90206238e+01	1.39013023e+03	3.81482667e-01
211             	wall	3.87615888e+01	1.39013023e+03	3.80910431e-01
212             	wall	3.85057908e+01	1.39013023e+03	3.80350471e-01
213             	wall	3.82532320e+01	1.39013023e+03	3.79802579e-01
214             	wall	3.80038795e+01	1.39013023e+03	3.79266546e-01
215             	wall	3.77577732e+01	1.39013023e+03	3.78742172e-01
216             	wall	3.75148455e+01	1.39013023e+03	3.78229241e-01
217             	wall	3.72751209e+01	1.39013023e+03	3.77727558e-01
218             	wall	3.70385854e+01	1.39013023e+03	3.77236923e-01
219             	wall	3.68052333e+01	1.39013023e+03	3.76757140e-01
220             	wall	3.65750706e+01	1.39013023e+03	3.76288014e-01
221             	wall	3.63480857e+01	1.39013023e+03	3.75829352e-01
222             	wall	3.61242759e+01	1.39013023e+03	3.75380966e-01
223             	wall	3.59035889e+01	1.39013023e+03	3.74942667e-01
224             	wall	3.56860565e+01	1.39013023e+03	3.74514271e-01
225             	wall	3.54716558e+01	1.39013023e+03	3.74095595e-01
226             	wall	3.52603776e+01	1.39013023e+03	3.73686457e-01
227             	wall	3.50522130e+01	1.39013023e+03	3.73286678e-01
228             	wall	3.48471367e+01	1.39013023e+03	3.72896084e-01
229             	wall	3.46451451e+01	1.39013023e+03	3.72514502e-01
230             	wall	3.44462080e+01	1.39013023e+03	3.72141757e-01
231             	wall	3.42503109e+01	1.39013023e+03	3.71777679e-01
232             	wall	3.40574528e+01	1.39013023e+03	3.71422102e-01
233             	wall	3.38676190e+01	1.39013023e+03	3.71074865e-01
234             	wall	3.36807565e+01	1.39013023e+03	3.70735798e-01
235             	wall	3.34968834e+01	1.39013023e+03	3.70404745e-01
236             	wall	3.33159718e+01	1.39013023e+03	3.70081545e-01
237             	wall	3.31379977e+01	1.39013023e+03	3.69766043e-01
238             	wall	3.29629393e+01	1.39013023e+03	3.69458083e-01
239             	wall	3.27907804e+01	1.39013023e+03	3.69157516e-01
240             	wall	3.26214835e+01	1.39013023e+03	3.68864190e-01
241             	wall	3.24550497e+01	1.39013023e+03	3.68577959e-01
242             	wall	3.22914315e+01	1.39013023e+03	3.68298675e-01
243             	wall	3.21306178e+01	1.39013023e+03	3.68026195e-01
244             	wall	3.19725796e+01	1.39013023e+03	3.67760379e-01
245             	wall	3.18173056e+01	1.39013023e+03	3.67501088e-01
246             	wall	3.16647675e+01	1.39013023e+03	3.67248185e-01
247             	wall	3.15149234e+01	1.39013023e+03	3.67001534e-01
248             	wall	3.13677460e+01	1.39013023e+03	3.66761003e-01
249             	wall	3.12232286e+01	1.39013023e+03	3.66526461e-01
250             	wall	3.10813359e+01	1.39013023e+03	3.66297779e-01
251             	wall	3.09420383e+01	1.39013023e+03	3.66074833e-01
252             	wall	3.08052914e+01	1.39013023e+03	3.65857495e-01
253             	wall	3.06710970e+01	1.39013023e+03	3.65645645e-01
254             	wall	3.05394062e+01	1.39013023e+03	3.65439162e-01
255             	wall	3.04101962e+01	1.39013023e+03	3.65237929e-01
256             	wall	3.02834426e+01	1.39013023e+03	3.65041828e-01
257             	wall	3.01591287e+01	1.39013023e+03	3.64850743e-01
258             	wall	3.00371928e+01	1.39013023e+03	3.64664565e-01
259             	wall	2.99176206e+01	1.39013023e+03	3.64483183e-01
260             	wall	2.98003838e+01	1.39013023e+03	3.64306488e-01
261             	wall	2.96854569e+01	1.39013023e+03	3.64134374e-01
262             	wall	2.95727824e+01	1.39013023e+03	3.63966730e-01
263             	wall	2.94623679e+01	1.39013023e+03	3.63803465e-01
264             	wall	2.93541669e+01	1.39013023e+03	3.63644471e-01
265             	wall	2.92481519e+01	1.39013023e+03	3.63489653e-01
266             	wall	2.91442821e+01	1.39013023e+03	3.63338909e-01
267             	wall	2.90425153e+01	1.39013023e+03	3.63192149e-01
268             	wall	2.89428453e+01	1.39013023e+03	3.63049275e-01
269             	wall	2.88452421e+01	1.39013023e+03	3.62910198e-01
270             	wall	2.87496485e+01	1.39013023e+03	3.62774826e-01
271             	wall	2.86560534e+01	1.39013023e+03	3.62643073e-01
272             	wall	2.85644274e+01	1.39013023e+03	3.62514853e-01
273             	wall	2.84747316e+01	1.39013023e+03	3.62390076e-01
274             	wall	2.83869571e+01	1.39013023e+03	3.62268665e-01
275             	wall	2.83010573e+01	1.39013023e+03	3.62150539e-01
276             	wall	2.82169862e+01	1.39013023e+03	3.62035614e-01
277             	wall	2.81347295e+01	1.39013023e+03	3.61923811e-01
278             	wall	2.80542709e+01	1.39013023e+03	3.61815059e-01
279             	wall	2.79755683e+01	1.39013023e+03	3.61709280e-01
280             	wall	2.78985875e+01	1.39013023e+03	3.61606402e-01
281             	wall	2.78232858e+01	1.39013023e+03	3.61506351e-01
282             	wall	2.77496680e+01	1.39013023e+03	3.61409057e-01
283             	wall	2.76776830e+01	1.39013023e+03	3.61314454e-01
284             	wall	2.76073141e+01	1.39013023e+03	3.61222472e-01
285             	wall	2.75385203e+01	1.39013023e+03	3.61133045e-01
286             	wall	2.74712897e+01	1.39013023e+03	3.61046111e-01
287             	wall	2.74055728e+01	1.39013023e+03	3.60961604e-01
288             	wall	2.73413326e+01	1.39013023e+03	3.60879462e-01
289             	wall	2.72785847e+01	1.39013023e+03	3.60799628e-01
290             	wall	2.72172749e+01	1.39013023e+03	3.60722041e-01
291             	wall	2.71573749e+01	1.39013023e+03	3.60646641e-01
292             	wall	2.70988651e+01	1.39013023e+03	3.60573374e-01
293             	wall	2.70417232e+01	1.39013023e+03	3.60502184e-01
294             	wall	2.69859083e+01	1.39013023e+03	3.60433018e-01
295             	wall	2.69314112e+01	1.39013023e+03	3.60365823e-01
296             	wall	2.68782023e+01	1.39013023e+03	3.60300546e-01
297             	wall	2.68262460e+01	1.39013023e+03	3.60237141e-01
298             	wall	2.67755153e+01	1.39013023e+03	3.60175554e-01
299             	wall	2.67260026e+01	1.39013023e+03	3.60115740e-01
300             	wall	2.66776763e+01	1.39013023e+03	3.60057650e-01
301             	wall	2.66305035e+01	1.39013023e+03	3.60001239e-01
302             	wall	2.65844774e+01	1.39013023e+03	3.59946462e-01
303             	wall	2.65395701e+01	1.39013023e+03	3.59893276e-01
304             	wall	2.64957682e+01	1.39013023e+03	3.59841638e-01
305             	wall	2.64530276e+01	1.39013023e+03	3.59791507e-01
306             	wall	2.64113292e+01	1.39013023e+03	3.59742842e-01
307             	wall	2.63706638e+01	1.39013023e+03	3.59695603e-01
308             	wall	2.63310025e+01	1.39013023e+03	3.59649752e-01
309             	wall	2.62923207e+01	1.39013023e+03	3.59605249e-01
310             	wall	2.62545907e+01	1.39013023e+03	3.59562060e-01
311             	wall	2.62178111e+01	1.39013023e+03	3.59520148e-01
312             	wall	2.61819521e+01	1.39013023e+03	3.59479478e-01
313             	wall	2.61469991e+01	1.39013023e+03	3.59440015e-01
314             	wall	2.61129205e+01	1.39013023e+03	3.59401727e-01
315             	wall	2.60797094e+01	1.39013023e+03	3.59364581e-01
316             	wall	2.60473314e+01	1.39013023e+03	3.59328545e-01
317             	wall	2.60157811e+01	1.39013023e+03	3.59293589e-01
318             	wall	2.59850399e+01	1.39013023e+03	3.59259682e-01
319             	wall	2.59550691e+01	1.39013023e+03	3.59226796e-01
320             	wall	2.59258858e+01	1.39013023e+03	3.59194899e-01
321             	wall	2.58974520e+01	1.39013023e+03	3.59163963e-01
322             	wall	2.58697533e+01	1.39013023e+03	3.59133966e-01
323             	wall	2.58427784e+01	1.39013023e+03	3.59104878e-01
324             	wall	2.58165134e+01	1.39013023e+03	3.59076676e-01
325             	wall	2.57909330e+01	1.39013023e+03	3.59049331e-01
326             	wall	2.57660323e+01	1.39013023e+03	3.59022823e-01
327             	wall	2.57417754e+01	1.39013023e+03	3.58997125e-01
328             	wall	2.57181658e+01	1.39013023e+03	3.58972213e-01
329             	wall	2.56951723e+01	1.39013023e+03	3.58948066e-01
330             	wall	2.56727736e+01	1.39013023e+03	3.58924661e-01
331             	wall	2.56509862e+01	1.39013023e+03	3.58901978e-01
332             	wall	2.56297904e+01	1.39013023e+03	3.58879995e-01
333             	wall	2.56091377e+01	1.39013023e+03	3.58858694e-01
334             	wall	2.55890487e+01	1.39013023e+03	3.58838053e-01
335             	wall	2.55694933e+01	1.39013023e+03	3.58818051e-01
336             	wall	2.55504759e+01	1.39013023e+03	3.58798672e-01
337             	wall	2.55319476e+01	1.39013023e+03	3.58779897e-01
338             	wall	2.55139389e+01	1.39013023e+03	3.58761710e-01
339             	wall	2.54964219e+01	1.39013023e+03	3.58744091e-01
340             	wall	2.54793840e+01	1.39013023e+03	3.58727025e-01
341             	wall	2.54628076e+01	1.39013023e+03	3.58710495e-01
342             	wall	2.54466966e+01	1.39013023e+03	3.58694484e-01
343             	wall	2.54310250e+01	1.39013023e+03	3.58678979e-01
344             	wall	2.54157932e+01	1.39013023e+03	3.58663963e-01
345             	wall	2.54009873e+01	1.39013023e+03	3.58649422e-01
346             	wall	2.53865832e+01	1.39013023e+03	3.58635343e-01
347             	wall	2.53725936e+01	1.39013023e+03	3.58621713e-01
348             	wall	2.53589732e+01	1.39013023e+03	3.58608515e-01
349             	wall	2.53457332e+01	1.39013023e+03	3.58595737e-01
350             	wall	2.53328686e+01	1.39013023e+03	3.58583367e-01
351             	wall	2.53203535e+01	1.39013023e+03	3.58571393e-01
352             	wall	2.53081912e+01	1.39013023e+03	3.58559803e-01
353             	wall	2.52963791e+01	1.39013023e+03	3.58548586e-01
354             	wall	2.52848940e+01	1.39013023e+03	3.58537728e-01
355             	wall	2.52737449e+01	1.39013023e+03	3.58527222e-01
356             	wall	2.52629198e+01	1.39013023e+03	3.58517055e-01
357             	wall	2.52523944e+01	1.39013023e+03	3.58507215e-01
358             	wall	2.52421796e+01	1.39013023e+03	3.58497695e-01
359             	wall	2.52322678e+01	1.39013023e+03	3.58488484e-01
360             	wall	2.52226365e+01	1.39013023e+03	3.58479572e-01
361             	wall	2.52132618e+01	1.39013023e+03	3.58470950e-01
362             	wall	2.52041606e+01	1.39013023e+03	3.58462609e-01
363             	wall	2.51953117e+01	1.39013023e+03	3.58454543e-01
364             	wall	2.51867303e+01	1.39013023e+03	3.58446739e-01
365             	wall	2.51783945e+01	1.39013023e+03	3.58439190e-01
366             	wall	2.51703128e+01	1.39013023e+03	3.58431889e-01
367             	wall	2.51624724e+01	1.39013023e+03	3.58424828e-01
368             	wall	2.51548561e+01	1.39013023e+03	3.58418000e-01
369             	wall	2.51474819e+01	1.39013023e+03	3.58411398e-01
370             	wall	2.51402946e+01	1.39013023e+03	3.58405014e-01
371             	wall	2.51333476e+01	1.39013023e+03	3.58398841e-01
372             	wall	2.51265871e+01	1.39013023e+03	3.58392874e-01
373             	wall	2.51200271e+01	1.39013023e+03	3.58387105e-01
374             	wall	2.51136645e+01	1.39013023e+03	3.58381527e-01
375             	wall	2.51074754e+01	1.39013023e+03	3.58376136e-01
376             	wall	2.51014602e+01	1.39013023e+03	3.58370923e-01
377             	wall	2.50956466e+01	1.39013023e+03	3.58365886e-01
378             	wall	2.50899951e+01	1.39013023e+03	3.58361017e-01
379             	wall	2.50845243e+01	1.39013023e+03	3.58356312e-01
380             	wall	2.50792196e+01	1.39013023e+03	3.58351765e-01
381             	wall	2.50740636e+01	1.39013023e+03	3.58347373e-01
382             	wall	2.50690549e+01	1.39013023e+03	3.58343125e-01
383             	wall	2.50641908e+01	1.39013023e+03	3.58339022e-01
384             	wall	2.50594935e+01	1.39013023e+03	3.58335056e-01
385             	wall	2.50549447e+01	1.39013023e+03	3.58331227e-01
386             	wall	2.50505269e+01	1.39013023e+03	3.58327528e-01
387             	wall	2.50462448e+01	1.39013023e+03	3.58323952e-01
388             	wall	2.50420911e+01	1.39013023e+03	3.58320500e-01
389             	wall	2.50380830e+01	1.39013023e+03	3.58317166e-01
390             	wall	2.50342010e+01	1.39013023e+03	3.58313946e-01
391             	wall	2.50304283e+01	1.39013023e+03	3.58310836e-01
392             	wall	2.50267590e+01	1.39013023e+03	3.58307831e-01
393             	wall	2.50232049e+01	1.39013023e+03	3.58304929e-01
394             	wall	2.50197683e+01	1.39013023e+03	3.58302126e-01
395             	wall	2.50164225e+01	1.39013023e+03	3.58299420e-01
396             	wall	2.50131812e+01	1.39013023e+03	3.58296809e-01
397             	wall	2.50100332e+01	1.39013023e+03	3.58294287e-01
398             	wall	2.50069861e+01	1.39013023e+03	3.58291854e-01
