time_s,liquid_volume_m3,gas_volume_m3,vapour_water_volume_m3,phaseChange_mDot_integ
62.0,2.3801062487811686e-05,1.8198935813549954e-05,9.055417718741394e-08,-7.454073955035402e-08
64.0,2.380264536294731e-05,1.8197352938221534e-05,9.177606316556564e-08,-5.906615199061283e-08
66.0,2.3803965691915325e-05,1.8196032610244115e-05,8.848653521942678e-08,-5.972509185618e-08
68.0,2.3805403185660073e-05,1.81945951154365e-05,1.197433847679319e-07,-7.933238292058673e-08
70.0,2.3806901389723966e-05,1.8193096913157475e-05,8.817551689267893e-08,-7.822481019560969e-08
72.0,2.3808469149027267e-05,1.819152915042978e-05,1.0405608667432642e-07,-5.5636121174222526e-08
74.0,2.3809975244169172e-05,1.8190023056644925e-05,1.0028977159206969e-07,-6.933933881421162e-08
76.0,2.3811462597281278e-05,1.8188535707604774e-05,1.1277326442255732e-07,-7.650924421672472e-08
78.0,2.3812914867262044e-05,1.8187083432240307e-05,1.0470128175155987e-07,-8.497174998016926e-08
80.0,2.3814374315159017e-05,1.8185623989886935e-05,9.5679349599746e-08,-5.969796154498509e-08
82.0,2.3815754949120046e-05,1.81842433491257e-05,1.0867754544237143e-07,-8.256568054291227e-08
84.0,2.38169199734413e-05,1.8183078327953968e-05,1.1766908693947078e-07,-9.202127748750817e-08
86.0,2.3818523016487553e-05,1.8181475285509186e-05,1.1033588216573011e-07,-9.946205516013868e-08
88.0,2.3820058428830424e-05,1.8179939872620846e-05,9.146619167786556e-08,-7.766263840770374e-08
90.0,2.382162252584011e-05,1.8178375773562275e-05,1.0341049439717771e-07,-9.199733316829505e-08
92.0,2.3823178717645638e-05,1.8176819588174018e-05,1.0770715109407965e-07,-7.953338319566674e-08
94.0,2.3824804155059607e-05,1.8175194148601656e-05,1.4164059311494546e-07,-1.0269512891638023e-07
96.0,2.382642842973218e-05,1.817356987251976e-05,1.0587535580501825e-07,-6.30327890039498e-08
98.0,2.3828044402296418e-05,1.817195389943043e-05,1.2494130698014834e-07,-6.618651768482068e-08
100.0,2.3829705194983766e-05,1.817029311112246e-05,1.2507750759302922e-07,-5.627524298936684e-08
102.0,2.383137866893625e-05,1.816861963610029e-05,1.2980880741230598e-07,-9.46434267599338e-08
104.0,2.383286065884361e-05,1.8167137643490105e-05,1.4177520980416498e-07,-6.332112729416959e-08
106.0,2.3834403280085395e-05,1.8165595017636324e-05,1.1340102371848166e-07,-1.4012238038743318e-07
108.0,2.3835877540597522e-05,1.8164120761621685e-05,1.0921183211194798e-07,-8.589660634170487e-08
110.0,2.383741380661329e-05,1.816258449847892e-05,1.461190505045612e-07,-1.0083057841211899e-07
112.0,2.3839037264276148e-05,1.8160961037099804e-05,1.3128149501986786e-07,-7.07543840938365e-08
114.0,2.3840611196947253e-05,1.8159387105869884e-05,1.2185320828441824e-07,-7.530541700496295e-08
116.0,2.3842314509159618e-05,1.81576837913065e-05,1.1597687584653994e-07,-1.4009226666262807e-07
118.0,2.3843990068584244e-05,1.815600823400969e-05,1.2206776304970566e-07,-7.860035217978325e-08
120.0,2.3845586366682995e-05,1.8154411934168792e-05,1.762863046696952e-07,-1.2103793802911963e-07
122.0,2.384705288521622e-05,1.8152945417758022e-05,1.2617471257085713e-07,-1.1328346519077047e-07
124.0,2.384865548754099e-05,1.815134281679935e-05,1.1935071634954548e-07,-7.899803510919463e-08
126.0,2.3850375191851783e-05,1.8149623104247753e-05,1.2183500434140692e-07,-9.620628648431434e-08
128.0,2.385215953334632e-05,1.8147838761491496e-05,1.4067442094372297e-07,-8.362777723457485e-08
130.0,2.385382101896483e-05,1.81461772790457e-05,1.911239297564063e-07,-1.0948439821467647e-07
132.0,2.3855350825512644e-05,1.814464747968557e-05,1.601899734018083e-07,-1.681143304388738e-07
134.0,2.3857062288099438e-05,1.814293601690821e-05,1.5689295141270906e-07,-1.247697696029322e-07
136.0,2.385880976763065e-05,1.8141188533635316e-05,1.4164852656077957e-07,-1.1350122678468796e-07
138.0,2.3860372387466297e-05,1.8139625913483383e-05,1.6492594715693066e-07,-8.779393648362918e-08
140.0,2.3861934084200095e-05,1.813806421826051e-05,2.0235663728144607e-07,-1.3414282868849572e-07
142.0,2.386342969962673e-05,1.8136568603165485e-05,1.335933424578165e-07,-1.5817312963719392e-07
144.0,2.3865102672241673e-05,1.8134895631631006e-05,1.5013514163206117e-07,-1.2266395313731726e-07
146.0,2.3866871522579817e-05,1.813312678004621e-05,1.608741055801469e-07,-1.264371606562257e-07
148.0,2.3868321874070758e-05,1.8131676432311243e-05,1.7070045643632557e-07,-1.1186546928376624e-07
150.0,2.3869896940684748e-05,1.81301013584061e-05,1.5170924411228368e-07,-1.1046466576727846e-07
152.0,2.3871576374577032e-05,1.812842193113516e-05,1.7551386574167383e-07,-1.5957558779115697e-07
154.0,2.387316754690236e-05,1.8126830752507695e-05,1.9352324408049385e-07,-1.8409929879181668e-07
156.0,2.387484559846574e-05,1.812515270765586e-05,1.6823276173583685e-07,-1.2704331672652463e-07
158.0,2.3876476356632647e-05,1.812352193687193e-05,1.8414062829872878e-07,-2.1288299929323326e-07
160.0,2.387796659716796e-05,1.8122031710839656e-05,1.5517598943138904e-07,-2.8361257057180356e-07
162.0,2.387952148794311e-05,1.8120476812487743e-05,1.68070965325927e-07,-1.5336594137646625e-07
164.0,2.38810369261318e-05,1.811896137709744e-05,2.3886539829437953e-07,-1.7122300647889524e-07
166.0,2.3882558251575005e-05,1.8117440048741057e-05,1.8428141648955967e-07,-1.8116816247558476e-07
168.0,2.388425854512147e-05,1.811573975633828e-05,1.597056232667027e-07,-1.5897259024986818e-07
170.0,2.3886058215497765e-05,1.8113940085460582e-05,1.907443992855028e-07,-1.79760778945633e-07
172.0,2.3887715493088463e-05,1.8112282808708003e-05,1.772214557623447e-07,-1.57428585679475e-07
174.0,2.3889474999519333e-05,1.8110523302993086e-05,2.1609609594358367e-07,-2.580016834852531e-07
176.0,2.3891029557957704e-05,1.8108968742981128e-05,1.752880219290744e-07,-1.152810755169157e-07
178.0,2.389279460009055e-05,1.810720369893659e-05,1.7706658178389272e-07,-1.791932930509423e-07
180.0,2.389431014315421e-05,1.8105688155264337e-05,1.7635484334735408e-07,-1.7524275421120783e-07
182.0,2.3895905502476593e-05,1.8104092798118326e-05,2.0893130232734064e-07,-2.7566193745180087e-07
184.0,2.38974466898589e-05,1.810255161478468e-05,2.172943161820448e-07,-2.529193591420544e-07
186.0,2.3899103763400923e-05,1.810089453458068e-05,2.1696914085346568e-07,-1.6023387195805362e-07
188.0,2.3900736720240597e-05,1.8099261578458988e-05,2.43394855003944e-07,-1.9923203872568203e-07
190.0,2.3902102526545985e-05,1.8097895777496836e-05,2.0955415378767393e-07,-2.841527189674054e-07
192.0,2.3903424745810004e-05,1.809657355293754e-05,2.0718646842085408e-07,-2.1967244955961537e-07
194.0,2.3904912004896008e-05,1.8095086295970094e-05,2.072498303797239e-07,-2.1358840034109748e-07
196.0,2.3906345009706142e-05,1.8093653294205226e-05,2.180072487254983e-07,-1.7904658062034339e-07
198.0,2.3907934366007824e-05,1.809206393445876e-05,2.0649601452930863e-07,-2.781831408130713e-07
200.0,2.3909506967277675e-05,1.8090491336728622e-05,2.3485615445558874e-07,-2.9518103889632e-07
202.0,2.39109790759352e-05,1.8089019221291817e-05,1.879514570872336e-07,-2.501628300396167e-07
204.0,2.391258398192942e-05,1.8087414318286668e-05,2.482231976910271e-07,-3.164549375381542e-07
206.0,2.3913957332644598e-05,1.8086040964214543e-05,2.1085200027466625e-07,-2.9498273475409647e-07
208.0,2.3915191161099974e-05,1.8084807133936098e-05,2.966863442723556e-07,-2.9451240600295763e-07
210.0,2.3916598436194807e-05,1.8083399866247596e-05,2.6599925378448434e-07,-2.4791210669706313e-07
212.0,2.391810532311457e-05,1.8081892976915375e-05,2.801402691030678e-07,-2.690605445872049e-07
214.0,2.3919414679827202e-05,1.808058362486281e-05,2.4936480114616443e-07,-3.5624259014010956e-07
216.0,2.3920937667087128e-05,1.807906063688256e-05,2.1946095162932244e-07,-3.1739635592113e-07
218.0,2.3922579165478887e-05,1.807741913684763e-05,2.812790959889526e-07,-3.316813047490424e-07
220.0,2.3924100091869543e-05,1.8075898206856717e-05,2.1505420839168744e-07,-2.6250466622502374e-07
222.0,2.392569630983405e-05,1.8074301993563904e-05,2.8823078767548694e-07,-3.1734115191663333e-07
224.0,2.3926950516691358e-05,1.8073047785021245e-05,3.031084582629643e-07,-3.4297874550746095e-07
226.0,2.3928176627398066e-05,1.8071821670855017e-05,2.4093335437835333e-07,-2.4536762157516357e-07
228.0,2.392980750248004e-05,1.8070190799307965e-05,2.4295468154619435e-07,-2.985030383889166e-07
230.0,2.3931327032296017e-05,1.8068671265546353e-05,2.663464594219754e-07,-4.752741600643386e-07
232.0,2.3932652952639955e-05,1.8067345345911822e-05,2.451401768965745e-07,-3.213011350338542e-07
234.0,2.393426965286903e-05,1.806572864444277e-05,2.2825498060385774e-07,-3.1797933261922736e-07
236.0,2.3935799249449363e-05,1.806419904807719e-05,2.5778519798235634e-07,-2.826686256406667e-07
238.0,2.393726048390663e-05,1.8062737817350738e-05,2.992880194178812e-07,-3.7322085332107184e-07
240.0,2.393870033773478e-05,1.8061297965309017e-05,2.376802307356242e-07,-2.726603286971468e-07
242.0,2.3940396763341438e-05,1.805960153641974e-05,2.4111061045369976e-07,-3.192941190413903e-07
244.0,2.394166227422699e-05,1.8058336029308155e-05,3.5655169434395504e-07,-4.015693773987419e-07
246.0,2.3943163798304518e-05,1.805683450605378e-05,3.796064287935213e-07,-2.9937361157675943e-07
248.0,2.3944728589206748e-05,1.8055269711195986e-05,3.2760644432416943e-07,-4.1292709528058155e-07
250.0,2.3946344972845504e-05,1.8053653328018738e-05,2.638595381205342e-07,-3.7809634527908863e-07
252.0,2.3947704375768043e-05,1.80522939281964e-05,2.9360139901317314e-07,-2.924245410656601e-07
254.0,2.3949281483337616e-05,1.8050716815312763e-05,3.354507856863522e-07,-3.8207050998514397e-07
256.0,2.3950678695540357e-05,1.804931960422138e-05,3.2249422113496987e-07,-4.269641734233454e-07
258.0,2.3951987987314334e-05,1.8048010315861447e-05,2.971266409676688e-07,-4.822886033712559e-07
260.0,2.3953470133147787e-05,1.804652816686522e-05,2.870688850314541e-07,-4.6899053865010045e-07
262.0,2.3954995712114978e-05,1.8045002584826465e-05,2.902946299903313e-07,-3.5079350945217086e-07
264.0,2.3956412154300715e-05,1.804358615016318e-05,3.6423217186734185e-07,-5.446089575183808e-07
266.0,2.395765904661998e-05,1.8042339256319426e-05,2.799546516770659e-07,-3.9043581086944675e-07
