"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.0051899,3.4071,-9.4379e-21,0.9115,1,9.4892,23.37,-27.149,0
-0.0048232,3.4093,-1.3159e-20,0.90508,1,9.5585,23.38,-27.08,0
-0.0044465,3.4113,-1.6799e-20,0.89863,1,9.6277,23.39,-27.012,0
-0.0040467,3.413,-2.0291e-20,0.89216,1,9.697,23.4,-26.943,0
-0.0036432,3.4146,-2.4105e-20,0.88568,1,9.7662,23.41,-26.875,0
-0.0031991,3.4163,-1.7062e-20,0.87912,1,9.8355,23.42,-26.806,0
-0.0027413,3.418,-6.43e-21,0.87254,1,9.9048,23.43,-26.737,0
-0.0022826,3.4196,4.1194e-21,0.86593,1,9.974,23.44,-26.669,0
-0.0018229,3.4212,1.4586e-20,0.8593,1,10.043,23.45,-26.6,0
-0.0013622,3.4228,2.497e-20,0.85264,1,10.113,23.46,-26.532,0
-0.00090051,3.4244,3.5272e-20,0.84597,1,10.182,23.47,-26.463,0
-0.00043785,3.426,4.5492e-20,0.83928,1,10.251,23.48,-26.395,0
6.6429e-05,3.4275,5.3923e-20,0.83252,1,10.32,23.49,-26.326,0
0.0006999,3.4291,5.6805e-20,0.82557,1,10.39,23.5,-26.258,0
0.0013314,3.4306,5.9601e-20,0.81858,1,10.459,23.51,-26.189,0
0.001961,3.4321,6.231e-20,0.81157,1,10.528,23.52,-26.121,0
0.0025887,3.4336,6.4932e-20,0.80452,1,10.597,23.53,-26.052,0
0.0032144,3.4351,6.7467e-20,0.79744,1,10.667,23.54,-25.984,0
0.0038382,3.4366,6.9917e-20,0.79032,1,10.736,23.55,-25.915,0
0.00446,3.438,7.228e-20,0.78317,1,10.805,23.56,-25.846,0
0.005159,3.4396,6.0934e-20,0.77578,1,10.874,23.57,-25.778,0
0.0058984,3.4412,4.2082e-20,0.76822,1,10.944,23.58,-25.709,0
0.0066685,3.442,2.3865e-20,0.76063,1,11.013,23.59,-25.641,0
0.0075295,3.4409,7.3178e-21,0.753,1,11.082,23.6,-25.572,0
0.0083911,3.4397,-8.7577e-21,0.74534,1,11.152,23.61,-25.504,0
0.0092532,3.4385,-2.4362e-20,0.73763,1,11.221,23.62,-25.435,0
0.010116,3.4373,-3.9497e-20,0.72989,1,11.29,23.63,-25.367,0
0.010979,3.436,-5.4161e-20,0.7221,1,11.359,23.64,-25.298,0
0.012153,3.4347,-4.5647e-20,0.71378,1,11.429,23.65,-25.23,0
0.013339,3.4334,-3.7715e-20,0.70538,1,11.498,23.66,-25.161,0
0.014525,3.4321,-3.1323e-20,0.69692,1,11.567,23.67,-25.093,0
0.01571,3.4308,-2.6468e-20,0.6884,1,11.636,23.68,-25.024,0
0.016894,3.4294,-2.3147e-20,0.67982,1,11.706,23.69,-24.955,0
0.018077,3.428,-2.1359e-20,0.67118,1,11.775,23.7,-24.887,0
0.019261,3.4265,-2.11e-20,0.66247,1,11.844,23.71,-24.818,0
0.020462,3.4251,-2.1066e-20,0.65356,1,11.913,23.72,-24.75,0
0.021741,3.424,-1.5606e-20,0.64399,1,11.983,23.73,-24.681,0
0.023012,3.4229,-9.3044e-21,0.63435,1,12.052,23.74,-24.613,0
0.024275,3.4217,-2.1617e-21,0.62462,1,12.121,23.75,-24.544,0
0.025531,3.4205,5.8205e-21,0.61482,1,12.19,23.76,-24.476,0
0.026778,3.4194,1.4641e-20,0.60495,1,12.26,23.77,-24.407,0
0.028018,3.4182,2.4298e-20,0.59499,1,12.329,23.78,-24.339,0
0.029139,3.413,3.485e-20,0.58492,1,12.398,23.79,-24.27,0
0.030294,3.4034,4.2278e-20,0.57435,1,12.468,23.8,-24.202,0
0.031796,3.3939,4.2782e-20,0.56295,1,12.537,23.81,-24.133,0
0.033282,3.3845,4.2694e-20,0.55144,1,12.606,23.82,-24.064,0
0.034752,3.3751,4.2015e-20,0.53984,1,12.675,23.83,-23.996,0
0.036206,3.3657,4.0746e-20,0.52814,1,12.745,23.84,-23.927,0
0.037644,3.3564,3.8888e-20,0.51634,1,12.814,23.85,-23.859,0
0.039066,3.347,3.6442e-20,0.50444,1,12.883,23.86,-23.79,0
0.040472,3.3377,3.3408e-20,0.49244,1,12.952,23.87,-23.722,0
0.041834,3.3287,2.8888e-20,0.47981,1,13.022,23.88,-23.653,0
0.043101,3.3204,2.2851e-20,0.46605,1,13.091,23.89,-23.585,0
0.044316,3.3121,1.7422e-20,0.45214,1,13.16,23.9,-23.516,0
0.045481,3.3039,1.2601e-20,0.43811,1,13.229,23.91,-23.448,0
0.046594,3.2958,8.388e-21,0.42393,1,13.299,23.92,-23.379,0
0.047657,3.2877,4.7812e-21,0.40963,1,13.368,23.93,-23.311,0
0.048668,3.2797,1.7799e-21,0.39519,1,13.437,23.94,-23.242,0
0.049629,3.2718,-6.1664e-22,0.38062,1,13.507,23.95,-23.173,0
0.050746,3.2641,-2.1821e-21,0.3653,1,13.576,23.96,-23.105,0
0.052426,3.2571,-2.571e-21,0.34801,1,13.645,23.97,-23.036,0
0.054162,3.2479,-2.6673e-21,0.33062,1,13.714,23.98,-22.968,0
0.0565,3.2245,-3.3436e-21,0.31348,1,13.784,23.99,-22.899,0
0.058888,3.2013,-3.6944e-21,0.29621,1,13.853,24,-22.831,0
0.061325,3.1783,-3.72e-21,0.27881,1,13.922,24.01,-22.762,0
0.063811,3.1556,-3.4211e-21,0.26127,1,13.991,24.02,-22.694,0
0.066346,3.133,-2.798e-21,0.24361,1,14.061,24.03,-22.625,0
0.068898,3.1109,-1.8909e-21,0.22563,1,14.13,24.04,-22.557,0
0.070997,3.0945,-1.4261e-21,0.20496,1,14.199,24.05,-22.488,0
0.073042,3.0787,-1.026e-21,0.18417,1,14.268,24.06,-22.42,0
0.075033,3.0634,-6.9049e-22,0.16325,1,14.338,24.07,-22.351,0
0.076971,3.0487,-4.1947e-22,0.14222,1,14.407,24.08,-22.282,0
0.078854,3.0345,-2.1284e-22,0.12106,1,14.476,24.09,-22.214,0
0.080684,3.0209,-7.0512e-23,0.099778,1,14.545,24.1,-22.145,0
