# Wall heat-flux
# Time          	patch           	min             	max             	integral        
146             	wall	4.47384203e+02	4.09426150e+03	2.71723853e+00
147             	wall	4.46446143e+02	4.09426158e+03	2.71406742e+00
148             	wall	4.45512161e+02	4.09426166e+03	2.71093059e+00
149             	wall	4.44582173e+02	4.09426173e+03	2.70782767e+00
150             	wall	4.43656114e+02	4.09426181e+03	2.70475832e+00
151             	wall	4.42733917e+02	4.09426188e+03	2.70172219e+00
152             	wall	4.41815507e+02	4.09426196e+03	2.69871895e+00
153             	wall	4.40900824e+02	4.09426203e+03	2.69574826e+00
154             	wall	4.39989792e+02	4.09426210e+03	2.69280980e+00
155             	wall	4.39082360e+02	4.09426217e+03	2.68990325e+00
156             	wall	4.38178447e+02	4.09426224e+03	2.68702831e+00
157             	wall	4.37278003e+02	4.09426231e+03	2.68418466e+00
158             	wall	4.36380967e+02	4.09426238e+03	2.68137202e+00
159             	wall	4.35487273e+02	4.09426245e+03	2.67859007e+00
160             	wall	4.34596866e+02	4.09426252e+03	2.67583854e+00
161             	wall	4.33709687e+02	4.09426258e+03	2.67311715e+00
162             	wall	4.32825681e+02	4.09426265e+03	2.67042561e+00
163             	wall	4.31944784e+02	4.09426271e+03	2.66776367e+00
164             	wall	4.31066959e+02	4.09426277e+03	2.66513106e+00
165             	wall	4.30192149e+02	4.09426284e+03	2.66252751e+00
166             	wall	4.29320302e+02	4.09426290e+03	2.65995279e+00
167             	wall	4.28451375e+02	4.09426296e+03	2.65740664e+00
168             	wall	4.27585308e+02	4.09426302e+03	2.65488883e+00
169             	wall	4.26722064e+02	4.09426308e+03	2.65239911e+00
170             	wall	4.25861594e+02	4.09426313e+03	2.64993725e+00
171             	wall	4.25003855e+02	4.09426319e+03	2.64750303e+00
172             	wall	4.24148799e+02	4.09426325e+03	2.64509621e+00
173             	wall	4.23296385e+02	4.09426330e+03	2.64271659e+00
174             	wall	4.22446573e+02	4.09426336e+03	2.64036394e+00
175             	wall	4.21599319e+02	4.09426341e+03	2.63803804e+00
176             	wall	4.20754589e+02	4.09426346e+03	2.63573869e+00
177             	wall	4.19912333e+02	4.09426351e+03	2.63346567e+00
178             	wall	4.19072515e+02	4.09426356e+03	2.63121879e+00
179             	wall	4.18235094e+02	4.09426361e+03	2.62899783e+00
180             	wall	4.17400030e+02	4.09426366e+03	2.62680260e+00
181             	wall	4.16567289e+02	4.09426371e+03	2.62463289e+00
182             	wall	4.15736832e+02	4.09426375e+03	2.62248852e+00
183             	wall	4.14908619e+02	4.09426380e+03	2.62036928e+00
184             	wall	4.14082618e+02	4.09426384e+03	2.61827499e+00
185             	wall	4.13258785e+02	4.09426388e+03	2.61620545e+00
186             	wall	4.12437090e+02	4.09426393e+03	2.61416047e+00
187             	wall	4.11617497e+02	4.09426397e+03	2.61213988e+00
188             	wall	4.10799968e+02	4.09426401e+03	2.61014348e+00
189             	wall	4.09984473e+02	4.09426405e+03	2.60817108e+00
190             	wall	4.09170973e+02	4.09426409e+03	2.60622252e+00
191             	wall	4.08359430e+02	4.09426413e+03	2.60429760e+00
192             	wall	4.07549813e+02	4.09426416e+03	2.60239615e+00
193             	wall	4.06742090e+02	4.09426420e+03	2.60051799e+00
194             	wall	4.05936227e+02	4.09426424e+03	2.59866295e+00
195             	wall	4.05132187e+02	4.09426427e+03	2.59683085e+00
196             	wall	4.04329933e+02	4.09426430e+03	2.59502151e+00
197             	wall	4.03529430e+02	4.09426434e+03	2.59323477e+00
198             	wall	4.02730647e+02	4.09426437e+03	2.59147045e+00
199             	wall	4.01933564e+02	4.09426440e+03	2.58972838e+00
200             	wall	4.01138143e+02	4.09426443e+03	2.58800840e+00
201             	wall	4.00344348e+02	4.09426446e+03	2.58631034e+00
202             	wall	3.99552149e+02	4.09426449e+03	2.58463404e+00
203             	wall	3.98761526e+02	4.09426451e+03	2.58297932e+00
204             	wall	3.97972440e+02	4.09426454e+03	2.58134603e+00
205             	wall	3.97184877e+02	4.09426457e+03	2.57973400e+00
206             	wall	3.96398793e+02	4.09426459e+03	2.57814307e+00
207             	wall	3.95614170e+02	4.09426462e+03	2.57657307e+00
208             	wall	3.94830981e+02	4.09426464e+03	2.57502386e+00
209             	wall	3.94049200e+02	4.09426466e+03	2.57349526e+00
210             	wall	3.93268802e+02	4.09426469e+03	2.57198712e+00
211             	wall	3.92489763e+02	4.09426471e+03	2.57049927e+00
212             	wall	3.91712063e+02	4.09426473e+03	2.56903157e+00
213             	wall	3.90935679e+02	4.09426475e+03	2.56758385e+00
214             	wall	3.90160587e+02	4.09426477e+03	2.56615596e+00
215             	wall	3.89386769e+02	4.09426479e+03	2.56474773e+00
216             	wall	3.88614211e+02	4.09426481e+03	2.56335901e+00
217             	wall	3.87842891e+02	4.09426483e+03	2.56198965e+00
218             	wall	3.87072801e+02	4.09426484e+03	2.56063949e+00
219             	wall	3.86303938e+02	4.09426486e+03	2.55930838e+00
220             	wall	3.85536292e+02	4.09426487e+03	2.55799615e+00
221             	wall	3.84769856e+02	4.09426489e+03	2.55670266e+00
222             	wall	3.84004633e+02	4.09426491e+03	2.55542776e+00
223             	wall	3.83240622e+02	4.09426492e+03	2.55417127e+00
224             	wall	3.82477821e+02	4.09426493e+03	2.55293305e+00
225             	wall	3.81716249e+02	4.09426495e+03	2.55171295e+00
226             	wall	3.80955912e+02	4.09426496e+03	2.55051080e+00
227             	wall	3.80196808e+02	4.09426497e+03	2.54932645e+00
228             	wall	3.79438964e+02	4.09426498e+03	2.54815974e+00
229             	wall	3.78682406e+02	4.09426499e+03	2.54701052e+00
230             	wall	3.77927152e+02	4.09426500e+03	2.54587862e+00
231             	wall	3.77173236e+02	4.09426501e+03	2.54476388e+00
232             	wall	3.76420692e+02	4.09426502e+03	2.54366615e+00
233             	wall	3.75669553e+02	4.09426503e+03	2.54258527e+00
234             	wall	3.74919861e+02	4.09426504e+03	2.54152107e+00
235             	wall	3.74171668e+02	4.09426505e+03	2.54047338e+00
236             	wall	3.73425024e+02	4.09426506e+03	2.53944204e+00
237             	wall	3.72679987e+02	4.09426506e+03	2.53842689e+00
238             	wall	3.71936610e+02	4.09426507e+03	2.53742775e+00
239             	wall	3.71194961e+02	4.09426508e+03	2.53644447e+00
240             	wall	3.70455100e+02	4.09426508e+03	2.53547685e+00
241             	wall	3.69717093e+02	4.09426509e+03	2.53452473e+00
242             	wall	3.68981023e+02	4.09426510e+03	2.53358794e+00
243             	wall	3.68246967e+02	4.09426510e+03	2.53266630e+00
244             	wall	3.67515012e+02	4.09426511e+03	2.53175963e+00
245             	wall	3.66785245e+02	4.09426511e+03	2.53086774e+00
